HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
M'gladbach,Bayern Munich,D,73,77,20,24,48,39,10,1,0,1,2,3,2,1,0,0,4.33,4.5,1.66
Augsburg,Hoffenheim,A,42,53,21,22,41,36,5,7,0,0,1,1,1,1,2,2,3.2,3.75,2.1
Bielefeld,Freiburg,D,43,44,15,27,55,55,9,6,0,0,0,2,3,2,1,0,2.8,3.4,2.5
Stuttgart,Greuther Furth,H,77,33,28,11,46,53,4,6,0,0,2,0,0,0,2,4,1.83,4.0,4.0
Union Berlin,Leverkusen,D,58,55,19,20,54,33,7,6,0,1,3,3,2,1,0,0,2.75,3.4,2.55
Wolfsburg,Bochum,H,54,40,23,15,53,69,13,9,1,1,2,1,1,0,1,4,1.53,4.5,5.75
Dortmund,Ein Frankfurt,H,76,35,27,12,40,57,7,10,0,0,5,1,0,2,0,1,1.4,5.5,6.5
Mainz,RB Leipzig,H,45,58,18,33,64,49,7,9,1,0,2,0,1,2,1,2,8.0,5.5,1.33
FC Koln,Hertha,H,68,41,21,15,57,71,10,10,0,0,3,2,1,0,0,3,2.55,3.4,2.75
RB Leipzig,Stuttgart,H,69,33,12,11,37,56,2,15,0,1,3,0,0,3,1,1,1.36,5.25,7.0
Bochum,Mainz,H,42,46,16,17,39,59,6,11,0,0,1,1,1,0,1,3,2.62,3.5,2.62
Ein Frankfurt,Augsburg,D,61,30,26,11,49,51,7,9,0,0,0,0,3,2,1,2,1.57,4.5,5.25
Freiburg,Dortmund,H,52,42,18,14,49,40,2,11,0,1,2,1,2,0,0,2,5.5,4.75,1.5
Greuther Furth,Bielefeld,D,50,46,18,13,63,53,12,4,0,1,0,0,1,2,3,2,2.55,3.4,2.7
Hertha,Wolfsburg,A,39,48,17,14,41,61,5,8,0,0,1,2,0,0,2,2,3.0,3.4,2.37
Leverkusen,M'gladbach,H,47,59,21,23,39,36,12,7,0,0,2,1,0,0,2,3,2.2,3.75,3.0
Hoffenheim,Union Berlin,D,44,35,18,16,49,29,6,10,0,1,2,1,1,1,1,1,2.0,3.6,3.6
Bayern Munich,FC Koln,H,78,50,23,15,29,48,4,8,0,1,3,0,0,2,1,2,1.11,11.0,16.0
Dortmund,Hoffenheim,H,76,53,27,22,40,36,7,7,0,0,5,1,0,1,0,2,1.4,5.5,6.5
Augsburg,Leverkusen,A,42,55,21,20,41,33,5,6,0,1,1,3,1,1,2,0,4.75,3.8,1.72
Bielefeld,Ein Frankfurt,D,43,35,15,12,55,57,9,10,0,0,0,1,3,2,1,1,3.3,3.6,2.1
FC Koln,Bochum,H,68,40,21,15,57,69,10,9,0,1,3,1,1,0,0,4,1.83,3.75,4.2
Mainz,Greuther Furth,H,45,33,18,11,64,53,7,6,1,0,2,0,1,0,1,4,1.66,4.0,5.0
Stuttgart,Freiburg,A,77,44,28,27,46,55,4,6,0,0,2,2,0,2,2,0,2.15,3.6,3.2
Bayern Munich,Hertha,H,78,41,23,15,29,71,4,10,0,0,3,2,0,0,1,3,1.14,9.0,15.0
Union Berlin,M'gladbach,H,58,59,19,23,54,36,7,7,0,0,3,1,2,0,0,3,2.45,3.25,2.9
Wolfsburg,RB Leipzig,H,54,58,23,33,53,49,13,9,1,0,2,0,1,2,1,2,3.6,3.5,2.05
Freiburg,FC Koln,D,52,50,18,15,49,48,2,8,0,1,2,0,2,2,0,2,2.2,3.6,3.1
Greuther Furth,Wolfsburg,A,50,48,18,14,63,61,12,8,0,0,0,2,1,0,3,2,5.5,4.33,1.57
Hoffenheim,Mainz,A,44,46,18,17,49,59,6,11,0,0,2,1,1,0,1,3,2.0,3.75,3.5
Leverkusen,Dortmund,A,47,42,21,14,39,40,12,11,0,1,2,1,0,0,2,2,3.1,3.8,2.15
Union Berlin,Augsburg,D,58,30,19,11,54,51,7,9,0,0,3,0,2,2,0,2,1.7,3.75,5.0
RB Leipzig,Bayern Munich,A,69,77,12,24,37,39,2,1,0,1,3,3,0,1,1,0,3.0,3.8,2.2
Ein Frankfurt,Stuttgart,D,61,33,26,11,49,56,7,15,0,1,0,0,3,3,1,1,2.0,3.75,3.5
Bochum,Hertha,A,42,41,16,15,39,71,6,10,0,0,1,2,1,0,1,3,2.8,3.4,2.5
M'gladbach,Bielefeld,H,73,46,20,13,48,53,10,4,0,1,2,0,2,2,0,2,1.44,4.75,7.0
Hertha,Greuther Furth,H,39,33,17,11,41,53,5,6,0,0,1,0,0,0,2,4,1.75,3.75,4.2
Augsburg,M'gladbach,H,42,59,21,23,41,36,5,7,0,0,1,1,1,0,2,3,4.2,4.0,1.8
